ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_1x1, send_bit_count, port1, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, send_packet_count, port1, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, output_port_stalls, port1, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, idle_time, port1, Accumulator, 7317634, 3, 7317634, 53547767357956, 1, 7317634, 7317634
rtr_1x1, width_adj_count, port1, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, send_bit_count, port3, Accumulator, 7317634, 3, 784, 309376, 2, 360, 424
rtr_1x1, send_packet_count, port3, Accumulator, 7317634, 3, 2, 2, 2, 1, 1
rtr_1x1, output_port_stalls, port3, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, idle_time, port3, Accumulator, 7317634, 3, 7291634, 23173249034530, 3, 535200, 3554441
rtr_1x1, width_adj_count, port3, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, send_bit_count, port4, Accumulator, 7317634, 3, 784, 309376, 2, 360, 424
rtr_1x1, send_packet_count, port4, Accumulator, 7317634, 3, 2, 2, 2, 1, 1
rtr_1x1, output_port_stalls, port4, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, idle_time, port4, Accumulator, 7317634, 3, 7291634, 23319802253730, 3, 508000, 3554441
rtr_1x1, width_adj_count, port4, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, xbar_stalls, port0, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, xbar_stalls, port1, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, xbar_stalls, port2, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, xbar_stalls, port3, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
rtr_1x1, xbar_stalls, port4, Accumulator, 7317634, 3, 0, 0, 0, 0, 0
